qpoint_index branchID frequency groupVel_x groupVel_y groupVel_z DOS gruneisen_param
Max bandID: 6
Max qpoint index: 1728
49 5 22.8684701528 -0.9432891 -0.9432891 -0.9432891 0.0000000000 1.2281654140
49 6 26.3618405676 -53.5529007 -53.5529007 -53.5529007 0.0000000000 1.0656239895
50 1 7.2772191915 1.0622630 1.0622630 70.9395665 0.0000000000 0.1267370468
50 2 7.5032857295 -6.4000351 -6.4000351 104.4482935 0.0000000000 0.3355318079
50 3 14.0384135623 99.2408454 99.2408454 76.3441511 0.0000000000 0.9864252345
50 4 22.9315458982 -1.4937773 -1.4937773 2.5590140 0.0000000000 1.2359926268
50 5 22.9639904180 -8.2298236 -8.2298236 2.3321646 0.0000000000 1.2366401244
50 6 26.7535839830 -42.6138039 -42.6138039 -62.9508776 0.0000000000 1.0581916577
51 1 8.1467673819 -6.0627488 -6.0627488 80.9748978 0.0000000000 0.2920450156
51 2 8.8389134412 6.0549734 6.0549734 127.3282597 0.0000000000 0.4585908294
51 3 13.1065171241 65.6508525 65.6508525 96.9697684 0.0000000000 0.9367595549
51 4 22.9388823247 1.7260382 1.7260382 -0.6952905 0.0000000000 1.2606589488
51 5 23.0680236614 -1.5340804 -1.5340804 -8.7568799 0.0000000000 1.2632381895
51 6 26.9232918690 -33.4337281 -33.4337281 -52.7125859 0.0000000000 1.0558273412
52 1 9.0473235395 -4.1442134 -4.1442134 72.8527471 0.0000000000 0.3224801936
