kpoint_index bandID energy groupVel_x groupVel_y groupVel_z DOS fermiEnergy
Max kpoint index: 216
Max bandID: 3
107 3 0.448761 -0.530871 0.530871 -0.000000 3.000000000000000 0.448761
108 1 0.109051 0.476524 0.150024 -0.476524 1.000000000000000 0.109051
108 2 0.476043 -0.267442 0.975327 0.267442 2.000000000000000 0.476043
108 3 0.549760 -0.211032 0.233481 0.211032 3.000000000000000 0.549760
109 1 0.051492 -0.000000 0.000000 -0.000000 1.000000000000000 0.051492
109 2 0.601241 -0.000000 -0.000000 -0.000000 2.000000000000000 0.601241
109 3 0.601241 0.000000 0.000000 0.000000 3.000000000000000 0.601241
110 1 0.109051 0.150024 0.476524 -0.476524 1.000000000000000 0.109051
110 2 0.476043 0.975327 -0.267442 0.267442 2.000000000000000 0.476043
110 3 0.549760 0.233481 -0.211032 0.211033 3.000000000000000 0.549760
111 1 0.179809 0.603767 0.121331 -0.121331 1.000000000000000 0.179809
111 2 0.358815 0.470808 0.425657 -0.425658 2.000000000000000 0.358815
111 3 0.474162 0.157874 -0.147007 0.147007 3.000000000000000 0.474162
112 1 0.107580 0.000000 -0.000000 -0.000000 1.000000000000000 0.107580
112 2 0.443971 -0.000000 -0.000000 -0.000000 2.000000000000000 0.443971
112 3 0.443971 0.000000 0.000000 0.000000 3.000000000000000 0.443971
113 1 0.179809 -0.603767 -0.121331 0.121331 1.000000000000000 0.179809
113 2 0.358815 -0.470808 -0.425657 0.425658 2.000000000000000 0.358815
113 3 0.474162 -0.157874 0.147007 -0.147007 3.000000000000000 0.474162
114 1 0.109051 -0.150024 -0.476524 0.476524 1.000000000000000 0.109051
114 2 0.476043 -0.975327 0.267442 -0.267442 2.000000000000000 0.476043
114 3 0.549760 -0.233481 0.211032 -0.211033 3.000000000000000 0.549760
115 1 0.109051 0.476524 0.476524 -0.150024 1.000000000000000 0.109051
115 2 0.476043 -0.267442 -0.267442 -0.975327 2.000000000000000 0.476043
115 3 0.549760 -0.211033 -0.211032 -0.233481 3.000000000000000 0.549760
116 1 0.172334 0.458315 0.758135 -0.458315 1.000000000000000 0.172334
116 2 0.444291 0.457423 -0.933736 -0.457423 2.000000000000000 0.444291
116 3 0.593929 0.250358 -0.027457 -0.250358 3.000000000000000 0.593929
117 1 0.246441 0.503252 -0.000000 -0.429876 1.000000000000000 0.246441
117 2 0.376931 0.355750 -0.000000 -0.607013 2.000000000000000 0.376931
117 3 0.500703 0.824437 0.000000 0.173766 3.000000000000000 0.500703
118 1 0.179809 0.603767 -0.121331 -0.121331 1.000000000000000 0.179809
118 2 0.358815 0.470807 -0.425657 -0.425657 2.000000000000000 0.358815
118 3 0.474162 0.157874 0.147007 0.147007 3.000000000000000 0.474162
